HexID	DateTime	Latitude	Longitude	Altitude
A38A21	2019/07/12 00:51:07.758	20.71870	-154.83013	28325
A38A21	2019/07/12 00:51:13.991	20.71533	-154.84490	28175
A38A21	2019/07/12 00:52:18.878	20.67995	-154.99991	26550
A38A21	2019/07/12 00:52:23.690	20.67732	-155.01150	26400
A38A21	2019/07/12 00:52:24.711	20.67677	-155.01395	26375
A38A21	2019/07/12 00:52:25.861	20.67613	-155.01669	26350
A38A21	2019/07/12 00:52:26.321	20.67590	-155.01784	26350
A38A21	2019/07/12 00:52:26.822	20.67562	-155.01904	26325
A38A21	2019/07/12 00:52:27.742	20.67511	-155.02123	26300
A38A21	2019/07/12 00:52:28.662	20.67459	-155.02348	26275
A38A21	2019/07/12 00:52:30.754	20.67348	-155.02847	26200
A38A21	2019/07/12 00:52:31.635	20.67297	-155.03063	26175
A38A21	2019/07/12 00:52:32.734	20.67238	-155.03328	26150
A38A21	2019/07/12 00:52:56.655	20.65923	-155.09115	25500
A38A21	2019/07/12 00:53:01.416	20.65658	-155.10263	25450
A38A21	2019/07/12 00:53:03.317	20.65551	-155.10723	25425
A38A21	2019/07/12 00:53:06.278	20.65388	-155.11437	25375
A38A21	2019/07/12 00:53:08.519	20.65262	-155.11976	25350
A38A21	2019/07/12 00:53:10.480	20.65155	-155.12451	25325
A38A21	2019/07/12 00:54:16.078	20.61566	-155.28076	24225
A38A21	2019/07/12 00:54:17.068	20.61515	-155.28311	24225
A38A21	2019/07/12 00:54:19.130	20.61403	-155.28800	24175
A38A21	2019/07/12 00:54:40.599	20.60239	-155.33859	23800
A38A21	2019/07/12 00:54:41.149	20.60207	-155.33991	23800
A38A21	2019/07/12 00:54:42.019	20.60160	-155.34194	23775
A38A21	2019/07/12 00:54:43.200	20.60095	-155.34473	23750
A38A21	2019/07/12 00:54:43.720	20.60067	-155.34593	23750
A38A21	2019/07/12 00:54:44.290	20.60037	-155.34727	23750
A38A21	2019/07/12 00:54:46.451	20.59918	-155.35237	23700
A38A21	2019/07/12 00:54:49.502	20.59755	-155.35951	23650
A38A21	2019/07/12 00:54:50.453	20.59703	-155.36179	23625
A38A21	2019/07/12 00:54:51.543	20.59643	-155.36431	23600
A38A21	2019/07/12 00:54:52.644	20.59583	-155.36690	23600
A38A21	2019/07/12 00:54:53.084	20.59559	-155.36795	23575
A38A21	2019/07/12 00:54:53.655	20.59529	-155.36929	23575
A38A21	2019/07/12 00:54:54.815	20.59465	-155.37199	23550
A38A21	2019/07/12 00:54:57.916	20.59296	-155.37930	23500
A38A21	2019/07/12 00:54:58.926	20.59243	-155.38164	23475
A38A21	2019/07/12 00:54:59.466	20.59215	-155.38293	23475
A38A21	2019/07/12 00:55:00.007	20.59182	-155.38418	23475
A38A21	2019/07/12 00:55:02.978	20.59021	-155.39116	23425
A38A21	2019/07/12 00:55:10.792	20.58596	-155.40945	23300
A38A21	2019/07/12 00:55:21.336	20.58028	-155.43417	23100
A38A21	2019/07/12 00:55:21.786	20.58005	-155.43521	23075
A38A21	2019/07/12 00:55:22.216	20.57981	-155.43622	23075
A38A21	2019/07/12 00:55:22.686	20.57954	-155.43732	23075
A38A21	2019/07/12 00:55:24.177	20.57874	-155.44081	23050
A38A21	2019/07/12 00:55:24.587	20.57854	-155.44178	23025
A38A21	2019/07/12 00:55:25.688	20.57794	-155.44433	23000
